Epoch 032, Loss: 0.1694599613058729, Neurons: 11
Epoch 032, Loss: 0.1694599613058729, Neurons: 11
Epoch 032, Loss: 0.1694599613058729, Neurons: 11
Epoch 033, Loss: 0.15765054041336543, Neurons: 11
Epoch 033, Loss: 0.15765054041336543, Neurons: 11
Epoch 033, Loss: 0.15765054041336543, Neurons: 11
Epoch 034, Loss: 0.15301086360152016, Neurons: 11
Epoch 034, Loss: 0.15301086360152016, Neurons: 11
Epoch 034, Loss: 0.15301086360152016, Neurons: 11
Epoch 035, Loss: 0.14790440112172365, Neurons: 11
Epoch 035, Loss: 0.14790440112172365, Neurons: 11
Epoch 035, Loss: 0.14790440112172365, Neurons: 11
Epoch 036, Loss: 0.13929321880880663, Neurons: 11
Epoch 036, Loss: 0.13929321880880663, Neurons: 11
Epoch 036, Loss: 0.13929321880880663, Neurons: 11
Epoch 037, Loss: 0.12930474674020956, Neurons: 11
Epoch 037, Loss: 0.12930474674020956, Neurons: 11
Epoch 037, Loss: 0.12930474674020956, Neurons: 11
Epoch 038, Loss: 0.12089467573486667, Neurons: 11
Epoch 038, Loss: 0.12089467573486667, Neurons: 11
Epoch 038, Loss: 0.12089467573486667, Neurons: 11
Epoch 039, Loss: 0.11503423597943811, Neurons: 11
Epoch 039, Loss: 0.11503423597943811, Neurons: 11
Epoch 039, Loss: 0.11503423597943811, Neurons: 11
Epoch 040, Loss: 0.11050133539162499, Neurons: 11
Epoch 040, Loss: 0.11050133539162499, Neurons: 11
Epoch 040, Loss: 0.11050133539162499, Neurons: 11
Epoch 041, Loss: 0.10572081532157358, Neurons: 11
Epoch 041, Loss: 0.10572081532157358, Neurons: 11
Epoch 041, Loss: 0.10572081532157358, Neurons: 11
Epoch 042, Loss: 0.09978623648656293, Neurons: 11
Epoch 042, Loss: 0.09978623648656293, Neurons: 11
Epoch 042, Loss: 0.09978623648656293, Neurons: 11
Epoch 043, Loss: 0.09270337282882057, Neurons: 11
Epoch 043, Loss: 0.09270337282882057, Neurons: 11
Epoch 043, Loss: 0.09270337282882057, Neurons: 11
Epoch 044, Loss: 0.08526333303666976, Neurons: 11
Epoch 044, Loss: 0.08526333303666976, Neurons: 11
Epoch 044, Loss: 0.08526333303666976, Neurons: 11
Epoch 045, Loss: 0.07861014956474263, Neurons: 11
Epoch 045, Loss: 0.07861014956474263, Neurons: 11
Epoch 045, Loss: 0.07861014956474263, Neurons: 11
